Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Question or issue with core / main features,1,He offered no support whatsoever!,119,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Perceived total lack of assistance or effort from the support representative,Support Interaction,High,High,Inconvenience,0.88,Support & QA
Free trial question or issue,1,Irrelevant answer,126,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent provided generic or non-applicable response to specific query,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Question or issue with podcasts,4,The attendant will try to understand the problem and resolve it.,130,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Effective agent empathy and problem-solving approach,Unknown,Low,Low,Other,0.85,Support & QA
Non-SUJ identified issues,1,"I subscribed to YouTube Premium Lite solely to have YouTube Music on CarPlay, but that's the only thing I don't have. I'll be forced to cancel, since the full Premium subscription is completely unprofitable if used for this purpose. You should implement a (cheap) subscription for YouTube Music users.",132,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Suggestion,Negative,Disappointment,Product,Premium Lite tier excludes YouTube Music CarPlay functionality,Product Design,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,"They didn't offer the necessary support. I would like to speak with a human representative, not a robot.",134,Customer Support Experience,Support Processes & Friction,UX Issue,Complaint,Negative,Frustration,Technical,Inadequate automated support and lack of human escalation path,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Playback Issues,1,The employee was completely unable to help.,137,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Agent lacked the necessary skills or tools to resolve the playback issue,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,"Hi, I disagree, with all due respect to YouTube, but I joined this platform precisely to earn money, not to spend it, especially since I don't even have a bank account and I'm a stay-at-home mom. Sorry, and I'll stop waiting. Thank you.",139,Advertising & Promotions,Ad Experience,Miscommunication,Feedback,Negative,Disappointment,Policy,Mismatch between user expectations of earning potential and platform financial requirements,Discovery,Medium,Medium,Trust Loss,0.88,Sales & Product
I want to ask about family plan abuse,1,"There is no help, the issue is not resolved.",141,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Frustration,People,Inability of support to provide actionable assistance or resolution,Resolution,High,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,My problem has not been resolved yet!!!,142,Subscriptions & Memberships,Plan Management (Family/Student),Delay,Complaint,Negative,Anger,Process,Lack of timely resolution for reported policy issues,Resolution,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,This was not resolved.,146,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Process,Failure to reach a resolution on the reported issue,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Free trial question or issue,1,No answer,148,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Frustration,Process,Complete lack of response from the support channel,Initial Contact,Medium,High,Delay,0.9,Sales & Product
Playback Issues,5,"The problem was solved, but I had to reinstall my app, which isn't ideal.",151,Technical & Playback Issues,App Performance & Crashing,UX Issue,Feedback,Neutral,Disappointment,Product,Technical resolution required high-effort manual intervention (reinstallation),Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,5,I want to see the result of the refund first.,152,Cancellations & Refunds,Refunds & Adjustments,Other,Query,Neutral,Other,Process,Customer awaiting confirmation of financial transaction,Post-Resolution,Low,Low,Unknown,0.85,Support & QA
Non-SUJ identified issues,1,"The problem hasn't been resolved. I had already sent the feedback via PC, since the app doesn't allow me to send the photo I want. Everything is a hassle.",156,Product Features & Content,General Feedback,UX Issue,Complaint,Negative,Frustration,Technical,App limitation preventing photo attachments for feedback,Support Interaction,High,High,Inconvenience,0.9,Policy & Brand
Issue with subtitles or closed captions,1,I'm not sure if I received human or automated assistance. It didn't solve the problem.,158,Product Features & Content,Bugs & Technical Errors,Miscommunication,Complaint,Negative,Confusion,People,Ambiguous support interaction failing to resolve technical issue,Resolution,Medium,High,Inconvenience,0.85,Policy & Brand
Playback Issues,5,Try,159,Technical & Playback Issues,Bugs & Technical Errors,Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.5,Sales & Product
Student plan question or issue,1,"It didn't solve anything, so I abandoned the plan.",162,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Frustration,Process,Failure to resolve plan-specific technical or eligibility issues leading to churn,Resolution,Critical,High,Financial Impact,0.9,Sales & Product
Student plan question or issue,4,The problem was not resolved because it is a partner service that verifies student access to subscriptions.,167,Account Management & Security,Account Access & Recovery,System Failure,Query,Neutral,Confusion,Technical,Dependency on external partner service for student status verification prevented resolution,Resolution,Medium,High,Inconvenience,0.88,Policy & Brand
Non-SUJ identified issues,1,They gave me no support whatsoever. On the contrary.,172,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Complete failure to provide assistance or engagement from the support team,Support Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
I want to know the status of my transaction,1,I was not offered any possible solution.,174,"Billing, Payments & Sales",Support Processes & Friction,Other,Complaint,Negative,Disappointment,People,Support failed to offer any actionable solution or path to resolution,Support Interaction,Medium,Medium,Inconvenience,0.88,Sales & Product
Non-SUJ identified issues,1,"I opened a support ticket for something basic and fundamental on my PREMIUM account, and I didn't receive a satisfactory response!",177,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Complaint,Negative,Disappointment,Policy,Failure to provide specialized support for premium tier accounts,Resolution,High,Medium,Trust Loss,0.9,Sales & Product
I want to cancel subscription,1,I received no support.,178,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Frustration,Technical,Total breakdown in support delivery or ticket assignment system,Initial Contact,Critical,High,Inconvenience,0.85,Support & QA
I want to ask about family plan abuse,1,The problem was not resolved.,180,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,Process,Failure to resolve the customer's inquiry regarding family plan restrictions,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,It didn't solve anything. It seems like he didn't understand the problem and didn't even try to understand it.,181,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to demonstrate understanding or effort in addressing the customer's problem,Interaction,High,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,2,Too much bureaucracy in the family plan.,185,Subscriptions & Memberships,Plan Management (Family/Student),UX Issue,Complaint,Negative,Frustration,Policy,Excessive administrative requirements or verification steps for family plan users,Usage,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,4,It didn't solve my problem.,194,Customer Support Experience,App Features & Navigation,Other,Complaint,Negative,Disappointment,Unknown,The support interaction concluded without addressing or fixing the customer's primary concern,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,2,This is supposed to be a customer service department. The goal is to act like one. But it's impossible for this platform to take into account the situation of its consumers.,196,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Process,Support processes fail to account for individual customer circumstances or context,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,It was not resolved.,197,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Disappointment,Process,Failure to provide a definitive solution or resolution to the customer's inquiry,Resolution,Medium,High,Inconvenience,0.85,Support & QA
I want to ask about family plan abuse,1,The problem remains unresolved.,200,Subscriptions & Memberships,Policy & Enforcement,System Failure,Complaint,Negative,Frustration,Process,Failure to resolve reported issue during support interaction,Resolution,High,High,Inconvenience,0.9,Sales & Product
I want to know the status of my transaction,1,Problem not solved,203,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Complaint,Negative,Frustration,Technical,Unresolved transaction status inquiry,Resolution,Medium,High,Inconvenience,0.88,Sales & Product
I want to ask about family plan abuse,1,"We pay for the family plan, but they are blocking my brother's use because he is studying in another city. This is very sad.",206,Subscriptions & Memberships,Plan Management (Family/Student),UX Issue,Complaint,Negative,Disappointment,Policy,Strict enforcement of household location requirements for family plan members.,Product Usage,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to join or start a family plan,4,"It's no use telling the user to remove their payment profile if they don't know how or where to do it. So, provide a step-by-step guide, and the conversation will flow better.",209,Customer Support Experience,Support Processes & Friction,UX Issue,Suggestion,Neutral,Other,Process,"Lack of granular, step-by-step guidance for complex account management tasks like removing payment profiles.",Support Interaction,Low,Medium,Inconvenience,0.88,Support & QA
I want to ask about family plan abuse,4,"Hi, I'm still having the problem. I'm getting commercials on my YouTube channel.",213,Subscriptions & Memberships,Premium Benefits & Access,Bug,Complaint,Negative,Frustration,Technical,Premium/Family plan benefits not correctly provisioned to the user account,Usage,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,My problem was not resolved and I was given information that I was able to find out on my own,214,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Agent provided redundant information already known to the customer and failed to resolve the core issue,Resolution,Medium,High,Trust Loss,0.88,Support & QA
I want to ask about family plan abuse,1,It didn't solve my problem.,215,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,Process,Support interaction failed to provide a resolution to the user's specific problem,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,4,I already pay so much for Google services that they should improve this process of reactivating my YouTube premium plan.,217,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Suggestion,Neutral,Frustration,Process,Inefficient or complex reactivation process for premium services,Service Delivery,Medium,Medium,Inconvenience,0.85,Sales & Product
Free trial question or issue,5,<<GSP_REDACTED>>,218,Subscriptions & Memberships,Plan Management (Individual),Other,Query,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.6,Sales & Product
I want to ask about family plan abuse,3,"The service was good, but it didn't really help me at all... they just told me to wait...",223,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Neutral,Disappointment,Process,"Support provided a polite interaction but failed to offer an immediate resolution, opting for a wait-and-see approach",Resolution,Medium,Medium,Delay,0.9,Sales & Product
Non-SUJ identified issues,1,It was useless and did not answer the problem.,226,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Support interaction failed to address or resolve the customer's specific issue,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Playback Issues,1,Not resolved. YouTube audio doesn't make a parliament.,228,Technical & Playback Issues,Playback & Streaming,Bug,Complaint,Negative,Confusion,Technical,Technical failure in audio output or playback stability,Product Usage,Medium,Medium,Inconvenience,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,The problem was not solved in any way,231,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Process,Failure to resolve customer issue during support journey,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,I asked a question and they said it was going to close. That's all. Thanks.,237,Customer Support Experience,Support Processes & Friction,UX Issue,Complaint,Negative,Confusion,Process,Automated or manual chat termination before addressing the customer's query,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,It didn't solve the problem.,241,Subscriptions & Memberships,Policy & Enforcement,Other,Complaint,Negative,Disappointment,Process,Support interaction failed to provide a resolution for the reported issue,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Question about package/plan and how to purchase,1,No solution was offered. I'm still having the same problem.,243,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,Process,Ineffective troubleshooting or lack of solution offered during the journey,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Question or issue with end of year recap,1,You didn't fix my recap.,245,Product Features & Content,Playback & Streaming,System Failure,Complaint,Negative,Disappointment,Technical,Failure to resolve a previously reported technical issue with the recap feature,Resolution,Medium,Medium,Inconvenience,0.9,Policy & Brand
Student plan question or issue,3,"It wasn't clear how I would get the 24.90 discount after I cancelled my student plan, thinking I'd be able to upgrade. And the person who was assisting me was impatient and even wrote that I wasn't reading her messages.",248,Subscriptions & Memberships,Plan Management (Individual),Miscommunication,Complaint,Negative,Frustration,People,Poor agent communication skills and lack of clarity regarding plan transition/discount rules,Support Interaction,Medium,High,Trust Loss,0.9,Sales & Product
I want to ask about family plan abuse,1,terrible service,249,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,People,General dissatisfaction with support quality or service delivery,Support Interaction,Medium,Unknown,Trust Loss,0.7,Sales & Product
User sees Ads,4,"They treated me extremely well, however they are unable to resolve my problem :/ I feel like I've been taken for a fool regarding this issue...",251,Advertising & Promotions,Ad Experience,System Failure,Complaint,Negative,Disappointment,Technical,Support unable to resolve technical issue regarding ad visibility despite good service,Resolution,Medium,Medium,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,4,The problem was not solved.,253,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Unknown,Failure to provide a solution to the reported problem,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,2,No support team will receive a good rating if the problem persists.,257,Customer Support Experience,Support Experience Feedback,Other,Feedback,Negative,Disappointment,Process,Inability of support to resolve persistent technical issues,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,4,This problem can only be solved on my end. YouTube can no longer help.,259,Technical & Playback Issues,Bugs & Technical Errors,Other,Feedback,Neutral,Other,Unknown,Issue identified as being outside the scope of platform support,Post-Support,Low,Medium,Other,0.85,Sales & Product
Issue with subtitles or closed captions,4,"The service was good, but my problem wasn't resolved.",261,Technical & Playback Issues,Bugs & Technical Errors,Other,Feedback,Neutral,Disappointment,Technical,Support interaction completed without resolving the underlying technical issue,Resolution,Low,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"Brunna's service was exceptional, and the ease of communication on YouTube was also great.",266,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Exceptional service and effective communication channels,Unknown,Low,Low,Other,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Not good,267,Cancellations & Refunds,Refunds & Adjustments,Other,Complaint,Negative,Disappointment,Unknown,Unsatisfactory service experience during refund/cancellation request,Resolution,Medium,Unknown,Inconvenience,0.8,Support & QA
Non-SUJ identified issues,3,People in my family group are having trouble accessing the service and I haven't been able to resolve it; I'm seriously considering cancelling my subscription.,269,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Frustration,Technical,Technical inability for family group members to access the service,Usage,High,Medium,Trust Loss,0.9,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,no,270,Cancellations & Refunds,Cancellations,Other,Complaint,Negative,Disappointment,Process,Support content failed to address user needs,Support Interaction,Medium,High,Inconvenience,0.7,Support & QA
Issue with subtitles or closed captions,5,"It's pointless, we're losing.",272,Product Features & Content,General Feedback,Other,Feedback,Negative,Frustration,Technical,Perceived low quality or inaccuracy of subtitles,Product Usage,Low,Low,Inconvenience,0.6,Policy & Brand
Non-SUJ identified issues,1,"Awful, they don't help and they don't solve anything, it's rubbish.",273,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,Failure of support agents to provide a resolution,Support Interaction,High,High,Trust Loss,0.9,Support & QA
